Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Acetes,chinensis,27.25,121.75,1212:371:2,0.67
Acetes,chinensis,37.75,118.75,1311:478:4,0.63
Acetes,chinensis,37.75,119.75,1311:479:4,0.79
Acetes,chinensis,38.25,118.75,1311:488:2,0.73
Acetes,chinensis,39.25,118.25,1311:498:1,0.73
Acetes,chinensis,30.25,121.25,1312:101:1,0.61
Acetes,chinensis,30.25,121.75,1312:101:2,0.77
Acetes,chinensis,30.25,123.75,1312:103:2,0.72
Acetes,chinensis,31.75,123.25,1312:113:3,0.79
Acetes,chinensis,32.25,123.25,1312:123:1,0.75
Acetes,chinensis,32.75,123.25,1312:123:3,0.79
Acetes,chinensis,33.25,123.25,1312:133:1,0.75
Acetes,chinensis,34.75,121.75,1312:141:4,0.75
Acetes,chinensis,34.75,122.25,1312:142:3,0.62
Acetes,chinensis,31.75,125.25,1312:215:3,0.75
Acetes,chinensis,32.75,128.75,1312:228:4,0.7
Acetes,chinensis,32.25,129.75,1312:229:2,0.68
Acetes,chinensis,32.75,129.25,1312:229:3,0.73
Acetes,chinensis,33.25,127.25,1312:237:1,0.77
Acetes,chinensis,33.25,128.75,1312:238:2,0.77
Acetes,chinensis,33.25,129.25,1312:239:1,0.79
Acetes,chinensis,33.75,129.75,1312:239:4,0.79
Acetes,chinensis,35.25,121.25,1312:351:1,0.75
Acetes,chinensis,35.25,121.75,1312:351:2,0.67
Acetes,chinensis,36.75,123.25,1312:363:3,0.79
Acetes,chinensis,36.75,124.75,1312:364:4,0.75
Acetes,chinensis,37.75,120.75,1312:370:4,0.75
Acetes,chinensis,39.75,121.75,1312:391:4,0.67
Acetes,chinensis,37.25,126.25,1312:476:1,0.71
Acetes,chinensis,31.75,130.25,1313:110:3,0.6
Acetes,chinensis,32.25,130.75,1313:120:2,0.72
Acetes,chinensis,32.75,131.75,1313:121:4,0.6
Acetes,chinensis,33.25,131.75,1313:131:2,0.74
Acetes,chinensis,33.75,131.25,1313:131:3,0.79
Acetes,chinensis,33.75,131.75,1313:131:4,0.77
Acetes,chinensis,33.25,132.25,1313:132:1,0.73
Acetes,chinensis,33.75,132.25,1313:132:3,0.75
Acetes,chinensis,33.75,132.75,1313:132:4,0.77
Acetes,chinensis,33.75,133.25,1313:133:3,0.75
Acetes,chinensis,33.75,133.75,1313:133:4,0.71
Acetes,chinensis,33.75,134.25,1313:134:3,0.7
Acetes,chinensis,33.75,134.75,1313:134:4,0.7
Acetes,chinensis,34.25,132.25,1313:142:1,0.78
Acetes,chinensis,34.25,132.75,1313:142:2,0.76
Acetes,chinensis,34.75,134.75,1313:144:4,0.63
Acetes,chinensis,33.75,135.25,1313:235:3,0.61
Acetes,chinensis,33.75,135.75,1313:235:4,0.62
Acetes,chinensis,33.75,136.25,1313:236:3,0.66
Acetes,chinensis,34.25,135.25,1313:245:1,0.74
Acetes,chinensis,34.25,136.25,1313:246:1,0.77
Acetes,chinensis,34.25,136.75,1313:246:2,0.79
Acetes,chinensis,34.75,137.25,1313:247:3,0.65
Acetes,chinensis,34.75,137.75,1313:247:4,0.77
Acetes,chinensis,34.75,138.25,1313:248:3,0.76
Acetes,chinensis,34.75,138.75,1313:248:4,0.77
Acetes,chinensis,34.25,139.25,1313:249:1,0.62
Acetes,chinensis,34.75,139.25,1313:249:3,0.77
Acetes,chinensis,34.75,139.75,1313:249:4,0.7
Acetes,chinensis,35.25,136.75,1313:456:2,0.74
Acetes,chinensis,35.25,138.75,1313:458:2,0.73
Acetes,chinensis,35.25,139.75,1313:459:2,0.62
Acetes,chinensis,36.75,137.75,1313:467:4,0.71
Acetes,chinensis,39.25,135.25,1313:495:1,0.79
Acetes,chinensis,34.75,140.25,1314:140:3,0.61
Acetes,chinensis,35.25,140.25,1314:350:1,0.72
Acetes,chinensis,35.25,140.75,1314:350:2,0.67
Acetes,chinensis,35.75,140.25,1314:350:3,0.67
Acetes,chinensis,35.75,140.75,1314:350:4,0.78
Acetes,chinensis,36.25,140.75,1314:360:2,0.76
Acetes,chinensis,40.25,119.75,1411:209:2,0.61
Acetes,chinensis,40.25,121.25,1412:101:1,0.62
Acetes,chinensis,40.25,122.25,1412:102:1,0.65
Acetes,chinensis,41.75,130.25,1413:110:3,0.75
Acetes,chinensis,42.25,130.25,1413:120:1,0.68
Acetes,chinensis,42.25,130.75,1413:120:2,0.62
Acetes,chinensis,42.25,139.25,1413:229:1,0.79
Acetes,chinensis,42.25,141.25,1414:121:1,0.76
Acetes,chinensis,42.25,141.75,1414:121:2,0.66
Acetes,chinensis,42.75,141.75,1414:121:4,0.79
Acetes,chinensis,42.25,142.25,1414:122:1,0.71
Acetes,chinensis,42.25,142.75,1414:122:2,0.63
Acetes,chinensis,43.75,141.75,1414:131:4,0.69
Acetes,chinensis,44.25,141.75,1414:141:2,0.63
Acetes,chinensis,44.75,141.75,1414:141:4,0.64
Acetes,chinensis,45.25,141.25,1414:351:1,0.76
Acetes,chinensis,45.75,141.25,1414:351:3,0.61
Acetes,chinensis,25.75,119.25,1211:459:3,0.84
Acetes,chinensis,25.75,119.75,1211:459:4,0.89
Acetes,chinensis,26.25,119.75,1211:469:2,0.95
Acetes,chinensis,26.75,119.75,1211:469:4,0.98
Acetes,chinensis,26.25,120.25,1212:360:1,0.88
Acetes,chinensis,26.75,120.25,1212:360:3,0.96
Acetes,chinensis,26.75,120.75,1212:360:4,0.84
Acetes,chinensis,27.25,120.25,1212:370:1,0.96
Acetes,chinensis,27.25,120.75,1212:370:2,0.94
Acetes,chinensis,27.75,120.75,1212:370:4,0.98
Acetes,chinensis,27.25,121.25,1212:371:1,0.87
Acetes,chinensis,27.75,121.25,1212:371:3,0.99
Acetes,chinensis,27.75,121.75,1212:371:4,0.87
Acetes,chinensis,28.25,121.25,1212:381:1,1
Acetes,chinensis,28.25,121.75,1212:381:2,1
Acetes,chinensis,28.75,121.75,1212:381:4,1
Acetes,chinensis,28.25,122.25,1212:382:1,0.87
Acetes,chinensis,28.75,122.25,1212:382:3,1
Acetes,chinensis,28.75,122.75,1212:382:4,0.81
Acetes,chinensis,29.25,121.75,1212:391:2,1
Acetes,chinensis,29.75,121.75,1212:391:4,1
Acetes,chinensis,29.25,122.25,1212:392:1,1
Acetes,chinensis,29.25,122.75,1212:392:2,1
Acetes,chinensis,29.75,122.25,1212:392:3,1
Acetes,chinensis,29.75,122.75,1212:392:4,1
Acetes,chinensis,29.75,124.75,1212:394:4,0.83
Acetes,chinensis,34.25,119.75,1311:249:2,1
Acetes,chinensis,34.75,119.25,1311:249:3,1
Acetes,chinensis,34.75,119.75,1311:249:4,1
Acetes,chinensis,35.25,119.25,1311:459:1,1
Acetes,chinensis,35.25,119.75,1311:459:2,1
Acetes,chinensis,35.75,119.75,1311:459:4,1
Acetes,chinensis,37.25,119.25,1311:479:1,0.91
Acetes,chinensis,37.25,119.75,1311:479:2,0.97
Acetes,chinensis,37.75,119.25,1311:479:3,1
Acetes,chinensis,38.75,118.25,1311:488:3,0.91
Acetes,chinensis,38.75,118.75,1311:488:4,1
Acetes,chinensis,38.25,119.25,1311:489:1,1
Acetes,chinensis,39.25,118.75,1311:498:2,1
Acetes,chinensis,39.25,119.25,1311:499:1,1
Acetes,chinensis,39.75,119.25,1311:499:3,1
Acetes,chinensis,39.75,119.75,1311:499:4,0.83
Acetes,chinensis,30.25,122.25,1312:102:1,1
Acetes,chinensis,30.25,122.75,1312:102:2,1
Acetes,chinensis,30.75,122.25,1312:102:3,0.9
Acetes,chinensis,30.75,122.75,1312:102:4,1
Acetes,chinensis,30.25,123.25,1312:103:1,1
Acetes,chinensis,30.75,123.25,1312:103:3,1
Acetes,chinensis,31.25,122.75,1312:112:2,1
Acetes,chinensis,31.75,122.75,1312:112:4,1
Acetes,chinensis,31.25,123.25,1312:113:1,0.83
Acetes,chinensis,32.75,120.75,1312:120:4,0.85
Acetes,chinensis,32.75,121.25,1312:121:3,0.8
Acetes,chinensis,32.75,121.75,1312:121:4,1
Acetes,chinensis,32.25,122.25,1312:122:1,0.97
Acetes,chinensis,32.25,122.75,1312:122:2,1
Acetes,chinensis,32.75,122.25,1312:122:3,1
Acetes,chinensis,32.75,122.75,1312:122:4,0.96
Acetes,chinensis,33.25,120.75,1312:130:2,1
Acetes,chinensis,33.75,120.25,1312:130:3,0.94
Acetes,chinensis,33.75,120.75,1312:130:4,1
Acetes,chinensis,33.25,121.25,1312:131:1,1
Acetes,chinensis,33.25,121.75,1312:131:2,1
Acetes,chinensis,33.75,121.25,1312:131:3,1
Acetes,chinensis,33.75,121.75,1312:131:4,1
Acetes,chinensis,33.25,122.25,1312:132:1,1
Acetes,chinensis,33.25,122.75,1312:132:2,0.92
Acetes,chinensis,33.75,122.25,1312:132:3,1
Acetes,chinensis,33.75,122.75,1312:132:4,0.92
Acetes,chinensis,34.25,120.75,1312:140:2,1
Acetes,chinensis,34.75,120.25,1312:140:3,1
Acetes,chinensis,34.75,120.75,1312:140:4,1
Acetes,chinensis,34.25,121.25,1312:141:1,0.83
Acetes,chinensis,34.25,121.75,1312:141:2,1
Acetes,chinensis,34.75,121.25,1312:141:3,0.83
Acetes,chinensis,34.25,122.25,1312:142:1,1
Acetes,chinensis,32.75,129.75,1312:229:4,0.82
Acetes,chinensis,33.75,125.25,1312:235:3,1
Acetes,chinensis,33.25,126.25,1312:236:1,0.85
Acetes,chinensis,33.25,126.75,1312:236:2,0.84
Acetes,chinensis,33.75,126.25,1312:236:3,0.97
Acetes,chinensis,33.75,126.75,1312:236:4,0.99
Acetes,chinensis,33.75,127.25,1312:237:3,0.92
Acetes,chinensis,33.75,127.75,1312:237:4,0.9
Acetes,chinensis,33.25,129.75,1312:239:2,0.81
Acetes,chinensis,34.25,125.25,1312:245:1,1
Acetes,chinensis,34.25,125.75,1312:245:2,1
Acetes,chinensis,34.75,125.25,1312:245:3,1
Acetes,chinensis,34.75,125.75,1312:245:4,1
Acetes,chinensis,34.25,126.25,1312:246:1,1
Acetes,chinensis,34.25,126.75,1312:246:2,1
Acetes,chinensis,34.75,126.25,1312:246:3,1
Acetes,chinensis,34.75,126.75,1312:246:4,1
Acetes,chinensis,34.25,127.25,1312:247:1,1
Acetes,chinensis,34.25,127.75,1312:247:2,1
Acetes,chinensis,34.75,127.25,1312:247:3,1
Acetes,chinensis,34.75,127.75,1312:247:4,1
Acetes,chinensis,34.25,128.25,1312:248:1,1
Acetes,chinensis,34.25,128.75,1312:248:2,1
Acetes,chinensis,34.75,128.25,1312:248:3,1
Acetes,chinensis,34.75,128.75,1312:248:4,1
Acetes,chinensis,34.25,129.25,1312:249:1,0.86
Acetes,chinensis,34.75,129.25,1312:249:3,0.97
Acetes,chinensis,34.75,129.75,1312:249:4,0.96
Acetes,chinensis,35.25,120.75,1312:350:2,0.96
Acetes,chinensis,35.75,120.25,1312:350:3,1
Acetes,chinensis,35.75,120.75,1312:350:4,1
Acetes,chinensis,35.75,121.25,1312:351:3,1
Acetes,chinensis,36.25,120.25,1312:360:1,1
Acetes,chinensis,36.25,120.75,1312:360:2,1
Acetes,chinensis,36.25,121.25,1312:361:1,1
Acetes,chinensis,36.25,121.75,1312:361:2,0.82
Acetes,chinensis,36.75,121.25,1312:361:3,1
Acetes,chinensis,36.75,121.75,1312:361:4,1
Acetes,chinensis,36.75,122.25,1312:362:3,0.97
Acetes,chinensis,36.75,122.75,1312:362:4,1
Acetes,chinensis,37.25,120.25,1312:370:1,1
Acetes,chinensis,37.75,120.25,1312:370:3,0.94
Acetes,chinensis,37.25,122.25,1312:372:1,1
Acetes,chinensis,37.25,122.75,1312:372:2,1
Acetes,chinensis,37.75,122.25,1312:372:3,0.83
Acetes,chinensis,37.75,122.75,1312:372:4,1
Acetes,chinensis,37.25,123.25,1312:373:1,1
Acetes,chinensis,37.25,123.75,1312:373:2,1
Acetes,chinensis,37.75,123.25,1312:373:3,1
Acetes,chinensis,37.75,123.75,1312:373:4,1
Acetes,chinensis,37.25,124.25,1312:374:1,1
Acetes,chinensis,37.25,124.75,1312:374:2,1
Acetes,chinensis,37.75,124.25,1312:374:3,1
Acetes,chinensis,37.75,124.75,1312:374:4,1
Acetes,chinensis,38.25,120.75,1312:380:2,0.8
Acetes,chinensis,38.75,120.75,1312:380:4,1
Acetes,chinensis,38.25,121.25,1312:381:1,1
Acetes,chinensis,38.25,121.75,1312:381:2,1
Acetes,chinensis,38.75,121.25,1312:381:3,1
Acetes,chinensis,38.75,121.75,1312:381:4,1
Acetes,chinensis,38.25,122.25,1312:382:1,0.96
Acetes,chinensis,38.25,122.75,1312:382:2,1
Acetes,chinensis,38.75,122.25,1312:382:3,1
Acetes,chinensis,38.75,122.75,1312:382:4,1
Acetes,chinensis,38.25,123.25,1312:383:1,1
Acetes,chinensis,38.25,123.75,1312:383:2,1
Acetes,chinensis,38.75,123.25,1312:383:3,1
Acetes,chinensis,38.75,123.75,1312:383:4,1
Acetes,chinensis,38.25,124.25,1312:384:1,1
Acetes,chinensis,38.25,124.75,1312:384:2,1
Acetes,chinensis,38.75,124.75,1312:384:4,1
Acetes,chinensis,39.25,121.25,1312:391:1,0.98
Acetes,chinensis,39.25,121.75,1312:391:2,0.97
Acetes,chinensis,39.75,121.25,1312:391:3,0.82
Acetes,chinensis,39.25,122.25,1312:392:1,1
Acetes,chinensis,39.25,122.75,1312:392:2,1
Acetes,chinensis,39.75,122.75,1312:392:4,0.86
Acetes,chinensis,39.25,123.25,1312:393:1,1
Acetes,chinensis,39.25,123.75,1312:393:2,1
Acetes,chinensis,39.75,123.25,1312:393:3,1
Acetes,chinensis,39.75,123.75,1312:393:4,1
Acetes,chinensis,39.25,124.25,1312:394:1,0.99
Acetes,chinensis,39.25,124.75,1312:394:2,0.99
Acetes,chinensis,39.75,124.25,1312:394:3,0.99
Acetes,chinensis,39.75,124.75,1312:394:4,1
Acetes,chinensis,35.25,125.75,1312:455:2,1
Acetes,chinensis,35.75,125.75,1312:455:4,1
Acetes,chinensis,35.25,126.25,1312:456:1,1
Acetes,chinensis,35.75,126.25,1312:456:3,1
Acetes,chinensis,35.75,126.75,1312:456:4,1
Acetes,chinensis,35.25,128.75,1312:458:2,1
Acetes,chinensis,35.25,129.25,1312:459:1,0.98
Acetes,chinensis,35.25,129.75,1312:459:2,1
Acetes,chinensis,35.75,129.25,1312:459:3,1
Acetes,chinensis,35.75,129.75,1312:459:4,0.98
Acetes,chinensis,36.25,125.25,1312:465:1,1
Acetes,chinensis,36.25,125.75,1312:465:2,1
Acetes,chinensis,36.75,125.25,1312:465:3,1
Acetes,chinensis,36.75,125.75,1312:465:4,1
Acetes,chinensis,36.25,126.25,1312:466:1,1
Acetes,chinensis,36.25,126.75,1312:466:2,1
Acetes,chinensis,36.75,126.25,1312:466:3,1
Acetes,chinensis,36.75,126.75,1312:466:4,1
Acetes,chinensis,36.25,129.25,1312:469:1,1
Acetes,chinensis,36.25,129.75,1312:469:2,0.96
Acetes,chinensis,36.75,129.25,1312:469:3,0.99
Acetes,chinensis,36.75,129.75,1312:469:4,0.94
Acetes,chinensis,37.25,125.25,1312:475:1,1
Acetes,chinensis,37.25,125.75,1312:475:2,1
Acetes,chinensis,37.75,125.25,1312:475:3,1
Acetes,chinensis,37.75,125.75,1312:475:4,1
Acetes,chinensis,37.25,126.75,1312:476:2,0.97
Acetes,chinensis,37.75,126.25,1312:476:3,0.88
Acetes,chinensis,37.75,126.75,1312:476:4,0.93
Acetes,chinensis,37.75,128.75,1312:478:4,1
Acetes,chinensis,37.25,129.25,1312:479:1,0.94
Acetes,chinensis,37.75,129.25,1312:479:3,0.92
Acetes,chinensis,38.25,125.25,1312:485:1,1
Acetes,chinensis,38.75,125.25,1312:485:3,1
Acetes,chinensis,38.75,127.75,1312:487:4,1
Acetes,chinensis,38.25,128.75,1312:488:2,0.91
Acetes,chinensis,38.75,128.25,1312:488:3,0.87
Acetes,chinensis,39.25,125.25,1312:495:1,1
Acetes,chinensis,39.75,125.25,1312:495:3,1
Acetes,chinensis,39.25,127.25,1312:497:1,1
Acetes,chinensis,39.25,127.75,1312:497:2,0.93
Acetes,chinensis,39.75,127.75,1312:497:4,0.93
Acetes,chinensis,39.25,128.25,1312:498:1,0.86
Acetes,chinensis,39.75,128.25,1312:498:3,0.86
Acetes,chinensis,32.25,130.25,1313:120:1,0.88
Acetes,chinensis,32.75,130.25,1313:120:3,0.87
Acetes,chinensis,32.75,130.75,1313:120:4,0.81
Acetes,chinensis,33.25,130.25,1313:130:1,0.84
Acetes,chinensis,33.75,130.25,1313:130:3,0.81
Acetes,chinensis,33.75,130.75,1313:130:4,0.81
Acetes,chinensis,34.25,130.25,1313:140:1,0.84
Acetes,chinensis,34.25,130.75,1313:140:2,0.8
Acetes,chinensis,34.25,131.25,1313:141:1,0.81
Acetes,chinensis,34.25,131.75,1313:141:2,0.8
Acetes,chinensis,34.75,131.25,1313:141:3,0.84
Acetes,chinensis,34.75,131.75,1313:141:4,0.83
Acetes,chinensis,34.75,132.25,1313:142:3,0.82
Acetes,chinensis,34.25,133.25,1313:143:1,0.8
Acetes,chinensis,34.25,133.75,1313:143:2,0.83
Acetes,chinensis,34.75,133.75,1313:143:4,0.85
Acetes,chinensis,34.25,134.25,1313:144:1,0.85
Acetes,chinensis,34.25,134.75,1313:144:2,0.89
Acetes,chinensis,34.75,134.25,1313:144:3,0.86
Acetes,chinensis,35.25,131.25,1313:351:1,0.87
Acetes,chinensis,35.25,132.25,1313:352:1,0.85
Acetes,chinensis,35.25,132.75,1313:352:2,0.84
Acetes,chinensis,35.75,132.75,1313:352:4,0.85
Acetes,chinensis,35.75,133.25,1313:353:3,0.84
Acetes,chinensis,35.75,133.75,1313:353:4,0.84
Acetes,chinensis,35.75,134.25,1313:354:3,0.84
Acetes,chinensis,35.75,134.75,1313:354:4,0.84
Acetes,chinensis,36.25,132.75,1313:362:2,0.85
Acetes,chinensis,36.25,133.25,1313:363:1,0.84
Acetes,chinensis,36.25,133.75,1313:363:2,0.84
Acetes,chinensis,37.25,130.75,1313:370:2,0.85
Acetes,chinensis,37.75,130.75,1313:370:4,0.84
Acetes,chinensis,35.75,135.25,1313:455:3,0.84
Acetes,chinensis,35.75,135.75,1313:455:4,0.86
Acetes,chinensis,35.75,136.25,1313:456:3,0.9
Acetes,chinensis,36.25,136.25,1313:466:1,0.88
Acetes,chinensis,36.75,136.25,1313:466:3,0.86
Acetes,chinensis,36.75,136.75,1313:466:4,0.87
Acetes,chinensis,36.75,137.25,1313:467:3,0.88
Acetes,chinensis,37.25,136.75,1313:476:2,0.85
Acetes,chinensis,37.75,136.75,1313:476:4,0.84
Acetes,chinensis,37.25,137.25,1313:477:1,0.87
Acetes,chinensis,37.25,137.75,1313:477:2,0.88
Acetes,chinensis,37.75,137.25,1313:477:3,0.83
Acetes,chinensis,37.25,138.25,1313:478:1,0.91
Acetes,chinensis,37.25,138.75,1313:478:2,0.9
Acetes,chinensis,37.75,138.25,1313:478:3,0.91
Acetes,chinensis,37.75,138.75,1313:478:4,0.91
Acetes,chinensis,37.75,139.25,1313:479:3,0.9
Acetes,chinensis,38.25,138.25,1313:488:1,0.86
Acetes,chinensis,38.25,138.75,1313:488:2,0.88
Acetes,chinensis,38.25,139.25,1313:489:1,0.92
Acetes,chinensis,38.75,139.25,1313:489:3,0.88
Acetes,chinensis,38.75,139.75,1313:489:4,0.9
Acetes,chinensis,39.25,139.75,1313:499:2,0.89
Acetes,chinensis,39.75,139.75,1313:499:4,0.88
Acetes,chinensis,36.75,140.75,1314:360:4,0.83
Acetes,chinensis,36.75,141.25,1314:361:3,0.81
Acetes,chinensis,37.75,140.75,1314:370:4,0.88
Acetes,chinensis,37.25,141.25,1314:371:1,0.85
Acetes,chinensis,37.75,141.25,1314:371:3,0.88
Acetes,chinensis,38.25,140.75,1314:380:2,0.9
Acetes,chinensis,38.25,141.25,1314:381:1,0.91
Acetes,chinensis,38.25,141.75,1314:381:2,0.84
Acetes,chinensis,38.75,141.25,1314:381:3,0.87
Acetes,chinensis,38.75,141.75,1314:381:4,0.84
Acetes,chinensis,39.25,140.25,1314:390:1,0.88
Acetes,chinensis,39.75,140.25,1314:390:3,0.87
Acetes,chinensis,39.25,141.75,1314:391:2,0.84
Acetes,chinensis,39.75,141.75,1314:391:4,0.84
Acetes,chinensis,39.25,142.25,1314:392:1,0.84
Acetes,chinensis,39.75,142.25,1314:392:3,0.84
Acetes,chinensis,40.25,120.25,1412:100:1,0.94
Acetes,chinensis,40.25,120.75,1412:100:2,0.87
Acetes,chinensis,40.75,121.25,1412:101:3,0.81
Acetes,chinensis,40.25,128.25,1412:208:1,0.94
Acetes,chinensis,40.25,128.75,1412:208:2,0.86
Acetes,chinensis,40.25,129.25,1412:209:1,0.85
Acetes,chinensis,40.75,129.25,1412:209:3,0.83
Acetes,chinensis,40.75,129.75,1412:209:4,0.84
Acetes,chinensis,41.25,129.75,1412:219:2,0.87
Acetes,chinensis,41.75,129.75,1412:219:4,0.82
Acetes,chinensis,40.25,139.75,1413:209:2,0.86
Acetes,chinensis,40.75,139.75,1413:209:4,0.84
Acetes,chinensis,41.25,139.75,1413:219:2,0.81
Acetes,chinensis,42.25,139.75,1413:229:2,0.81
Acetes,chinensis,42.75,139.75,1413:229:4,0.8
Acetes,chinensis,40.25,140.25,1414:100:1,0.85
Acetes,chinensis,40.75,140.25,1414:100:3,0.84
Acetes,chinensis,40.75,140.75,1414:100:4,0.83
Acetes,chinensis,40.25,141.75,1414:101:2,0.83
Acetes,chinensis,40.75,141.25,1414:101:3,0.83
Acetes,chinensis,40.75,141.75,1414:101:4,0.83
Acetes,chinensis,41.25,140.25,1414:110:1,0.82
Acetes,chinensis,41.25,140.75,1414:110:2,0.82
Acetes,chinensis,41.75,140.25,1414:110:3,0.84
Acetes,chinensis,41.75,140.75,1414:110:4,0.84
Acetes,chinensis,41.25,141.25,1414:111:1,0.83
Acetes,chinensis,41.25,141.75,1414:111:2,0.84
Acetes,chinensis,41.75,141.25,1414:111:3,0.88
Acetes,chinensis,42.25,140.25,1414:120:1,0.9
Acetes,chinensis,42.25,140.75,1414:120:2,0.81
Acetes,chinensis,42.75,140.25,1414:120:3,0.86
Acetes,chinensis,42.75,140.75,1414:120:4,0.89
Acetes,chinensis,42.75,141.25,1414:121:3,0.85
Acetes,chinensis,43.25,140.25,1414:130:1,0.82
Acetes,chinensis,43.25,140.75,1414:130:2,0.9
Acetes,chinensis,43.25,141.25,1414:131:1,0.96
Acetes,chinensis,43.75,141.25,1414:131:3,0.94
Acetes,chinensis,44.25,141.25,1414:141:1,0.88